Unnamed: 0,term,tag,value,pstv,neut,ngtv,dunno,distortion
15263,першокласник,NEUT,0.5077,0.4356,0.4257,0.0891,0.0495,0.1073
15264,первокурсник,NEUT,0.3067,0.3077,0.5288,0.0673,0.0962,0.08199999999999999
15265,першокурсниця,NEUT,0.374,0.3627,0.5196,0.0882,0.0294,0.1097
15266,першотравневий,NEUT,0.4677,0.3846,0.4231,0.0865,0.1058,0.106
15267,первоначальный,NEUT,0.35,0.34,0.52,0.06,0.08,0.0706
15268,першовідкривач,PSTV,0.8628,0.6436,0.2376,0.0297,0.0891,0.0311
15269,першочерговим,NEUT,0.35,0.3178,0.486,0.0374,0.1589,0.0418
15270,першочерговість,NEUT,0.458,0.38,0.43,0.03,0.16,0.0324
15271,першопроходець,PSTV,0.7131,0.58,0.32,0.04,0.06,0.0428
15272,першорядний,NEUT,0.5089,0.3585,0.3491,0.0189,0.2736,0.0199
15273,першорядний,NEUT,0.4211,0.35,0.44,0.05,0.16,0.0571
15274,переадресация,NEUT,0.0,0.0769,0.8462,0.0,0.0769,0.0
15275,переадресувати,NEUT,0.0,0.1333,0.7667,0.0667,0.0333,0.1
15276,переадресовувати,NEUT,0.0,0.1628,0.7209,0.0698,0.0465,0.0997
15277,переатестація,NEUT,-0.0176,0.2277,0.3861,0.2376,0.1485,0.446
15278,переборщувати,NGTV,-0.9231,0.04,0.2,0.64,0.12,0.0425
15279,перебарывать,NEUT,0.3843,0.3613,0.3782,0.1345,0.1261,0.1845
15280,перебегать,NEUT,-0.1,0.0357,0.6429,0.2143,0.1071,0.0417
15281,перебігти,NEUT,0.0,0.069,0.6897,0.1724,0.069,0.0966
15282,перебісилося,NGTV,-0.4424,0.25,0.17,0.49,0.09,0.3776
15283,перебивати,NGTV,-0.9167,0.0313,0.2188,0.6875,0.0625,0.0327
15284,перебиватися,NGTV,-0.9194,0.0,0.2069,0.6552,0.1379,0.0
15285,перебинтувати,NEUT,0.5227,0.46,0.43,0.04,0.07,0.0435
15286,перебинтовувати,NEUT,0.4851,0.44,0.46,0.06,0.04,0.0682
15287,перебирание,NEUT,0.0,0.125,0.625,0.0625,0.1875,0.0938
15288,перебирати,NEUT,0.0357,0.1923,0.6923,0.0385,0.0769,0.0462
15289,перебираться,NEUT,0.1226,0.2178,0.6139,0.0594,0.1089,0.0756
15290,перебити,NGTV,-0.9444,0.0769,0.1923,0.6538,0.0769,0.086
15291,перебитися,NGTV,-0.6468,0.08,0.31,0.47,0.14,0.0936
15292,перебій,NGTV,-0.9,0.0606,0.1818,0.5455,0.2121,0.0673
15293,ПЕРЕБІЙНИЙ,NGTV,-0.3744,0.1132,0.2925,0.2925,0.3019,0.157
15294,перехворіти,NEUT,0.1653,0.3762,0.2277,0.2772,0.1188,0.4815
15295,перебір,NGTV,-0.913,0.025,0.225,0.7,0.05,0.0259
15296,перебороти,PSTV,0.9375,0.7143,0.2143,0.0,0.0714,0.0
15297,переборщити,NGTV,-0.913,0.0476,0.2143,0.6667,0.0714,0.051
15298,суперечка,NGTV,-1.0,0.0769,0.0769,0.5385,0.3077,0.0879
15299,перебрасывать,NEUT,0.0122,0.1628,0.6279,0.0698,0.1395,0.0997
15300,перекидатися,NEUT,0.0,0.1188,0.6139,0.1386,0.1287,0.2207
15301,перебрати,NEUT,-0.3363,0.13,0.46,0.32,0.09,0.1828
15302,перебратися,NEUT,0.0357,0.1786,0.6429,0.0714,0.1071,0.1
15303,перекинути,NEUT,0.0455,0.1538,0.5385,0.0385,0.2692,0.0481
15304,Розбудиш,NEUT,-0.2591,0.1698,0.3679,0.3208,0.1415,0.2597
15305,перевалювати,NEUT,-0.0347,0.1304,0.5652,0.1565,0.1478,0.2391
15306,перевалюватися,NEUT,-0.1,0.0698,0.5581,0.18600000000000005,0.18600000000000005,0.0959
15307,перевалити,NEUT,-0.0223,0.1471,0.5392,0.1569,0.1569,0.2849
15308,перевалитися,NEUT,0.0,0.0,0.7037,0.1481,0.1481,0.0
15309,переваривание,NEUT,0.4052,0.35,0.46,0.08,0.11,0.0983
15310,перетравлювати,NEUT,0.2311,0.2871,0.604,0.0693,0.0396,0.086
15311,перетравлюватися,NEUT,0.1765,0.23,0.56,0.11,0.1,0.1626
15312,переварити,NEUT,0.1122,0.2,0.58,0.13,0.09,0.2145
15313,перетравитися,NEUT,0.0,0.1591,0.6364,0.0682,0.1364,0.0974
15314,перевезти,NEUT,0.0,0.1212,0.7879,0.0606,0.0303,0.0909
15315,перевернути,NEUT,0.0275,0.16,0.59,0.14,0.11,0.2625
15316,перевернутися,NEUT,0.0,0.1304,0.7609,0.0652,0.0435,0.0978
15317,перевага,NEUT,-0.0563,0.1881,0.4851,0.2178,0.1089,0.3506
15318,переважити,NEUT,0.067,0.17,0.55,0.14,0.14,0.2553
15319,перевеситься,NEUT,-0.2458,0.12,0.39,0.23,0.26,0.1826
15320,перевести,NEUT,0.2304,0.2718,0.5728,0.0194,0.1359,0.0208
15321,перевестися,NEUT,0.0,0.1262,0.6311,0.1165,0.1262,0.224
15322,перевешать,NEUT,-0.0235,0.1386,0.5347,0.1485,0.1782,0.268
15323,переважувати,NEUT,0.0,0.0588,0.7059,0.0882,0.1471,0.098
15324,переважуватися,NEUT,-0.1319,0.1386,0.4554,0.198,0.2079,0.2356
15325,перевод,NEUT,0.0,0.1538,0.6538,0.0385,0.1538,0.0481
15326,переводити,NEUT,0.1,0.2195,0.6585,0.0488,0.0732,0.0596
15327,переводитися,NEUT,0.1053,0.217,0.6415,0.0566,0.0849,0.0714
15328,перекладач,NEUT,0.371,0.36,0.52,0.02,0.1,0.0211
15329,перекладачка,NEUT,0.4767,0.42,0.45,0.04,0.09,0.0438
15330,перевоз,NEUT,0.1271,0.2189,0.6095,0.0473,0.1243,0.0576
15331,перевозити,NEUT,0.0,0.1538,0.7692,0.0,0.0769,0.0
15332,перевозитися,NEUT,0.1,0.1667,0.5,0.0667,0.2667,0.0933
15333,перевезення,NEUT,0.0,0.16,0.64,0.0,0.2,0.0
15334,перевізний,NEUT,0.0357,0.1852,0.6667,0.037000000000000005,0.1111,0.0444
15335,перевозчик,NEUT,0.0455,0.2069,0.7241,0.0,0.069,0.0
15336,перехвилювався,NGTV,-0.828,0.0938,0.2188,0.5391,0.1484,0.1101
15337,перехвилюватися,NGTV,-0.87,0.0693,0.2079,0.5743,0.1485,0.0777
15338,переозброїти,NEUT,-0.0858,0.2115,0.3558,0.2596,0.1731,0.3839
15339,перевтілюватися,NEUT,0.3276,0.3019,0.4906,0.066,0.1415,0.0805
15340,перевоплощение,NEUT,0.425,0.3663,0.4554,0.0594,0.1188,0.069
15341,переворачивание,NEUT,0.0,0.1379,0.7931,0.0345,0.0345,0.0431
15342,перевертати,NEUT,0.0357,0.2,0.72,0.04,0.04,0.048
15343,перевертатися,NEUT,0.0,0.0667,0.7,0.1333,0.1,0.1
15344,переворот,NEUT,-0.1013,0.1597,0.5126,0.2101,0.1176,0.281
15345,перевоспитание,NEUT,0.4386,0.44,0.27,0.19,0.1,0.272
15346,перевиховати,PSTV,0.7364,0.54,0.28,0.1,0.08,0.1185
15347,перевиховатися,PSTV,0.9,0.75,0.25,0.0,0.0,0.0
15348,перевиховувати,NEUT,0.2196,0.34,0.39,0.2,0.07,0.3176
15349,перевиховувати,PSTV,0.7564,0.5842,0.2871,0.0495,0.0792,0.0537
15350,перевиконання,NEUT,0.48,0.4423,0.3365,0.1538,0.0673,0.2074
15351,перевыполнить,PSTV,0.75,0.5294,0.2647,0.0784,0.1275,0.0901
15352,перевиконувати,PSTV,0.575,0.46,0.37,0.1,0.07,0.1217
15353,перевязать,NEUT,0.2895,0.3,0.54,0.07,0.09,0.0863
15354,перев'язати,NEUT,0.1564,0.2,0.47,0.13,0.2,0.2145
15355,перев'язка,NEUT,0.2817,0.2788,0.3942,0.1346,0.1923,0.1996
15356,перев'язування,NEUT,0.229,0.2476,0.5238,0.1048,0.1238,0.1491
15357,перев'язувати,NEUT,0.3898,0.35,0.48,0.08,0.09,0.0983
15358,перегар,NGTV,-1.0,0.08,0.04,0.76,0.12,0.0884
15359,перегарний,NGTV,-0.9,0.0,0.2286,0.6857,0.0857,0.0
15360,перегинати,NGTV,-0.9,0.0333,0.2167,0.65,0.1,0.035
15361,перегинатися,NEUT,0.0,0.0714,0.7857,0.0357,0.1071,0.0536
15362,перегладжувати,NGTV,-0.4107,0.0891,0.4356,0.3366,0.1386,0.1127
15363,переглядывание,NEUT,0.0,0.04,0.6,0.12,0.24,0.0533
15364,переглядатися,NEUT,0.2778,0.2772,0.5149,0.0792,0.1287,0.1018
15365,переглянутися,NEUT,0.1286,0.2178,0.604,0.0891,0.0891,0.1256
15366,перегнати,NEUT,0.2581,0.28,0.49,0.14,0.09,0.21
15367,перегнуть,NGTV,-0.9,0.0833,0.1944,0.5833,0.1389,0.0952
15368,перегнуться,NEUT,-0.1,0.04,0.6,0.2,0.16,0.048
15369,переговариваться,NEUT,0.0762,0.21,0.58,0.17,0.04,0.3076
15370,переговорити,NEUT,0.2358,0.2574,0.5347,0.0693,0.1386,0.08800000000000001
15371,переговорки,NEUT,-0.0248,0.14,0.45,0.15,0.26,0.2707
15372,переговорний,NEUT,0.3333,0.3,0.48,0.03,0.19,0.033
15373,парламентер,NEUT,0.3906,0.38,0.52,0.04,0.06,0.0442
15374,переговори,NEUT,0.4074,0.405,0.5289,0.0083,0.0579,0.0084
15375,переганяти,NEUT,0.0,0.0345,0.7586,0.1034,0.1034,0.046
15376,переганятися,NEUT,0.0219,0.1455,0.5364,0.1364,0.1818,0.2642
15377,перегороджувати,NGTV,-0.4535,0.0777,0.4563,0.3981,0.068,0.0928
15378,перегороджують,NEUT,0.0423,0.18,0.53,0.16,0.13,0.3022
15379,перегорання,NGTV,-0.9828,0.0385,0.1923,0.7308,0.0385,0.0405
15380,дмухнути,NGTV,-0.9,0.037000000000000005,0.2222,0.6667,0.0741,0.0391
15381,перегоріти,NGTV,-0.8182,0.05,0.25,0.6,0.1,0.0542
15382,перегородити,NEUT,-0.2759,0.09,0.56,0.3,0.05,0.117
15383,перегородка,NEUT,0.1122,0.2,0.58,0.08,0.14,0.112
15384,перегрівання,NGTV,-0.8394,0.11,0.24,0.61,0.04,0.1298
15385,перегрівати,NGTV,-0.5841,0.17,0.27,0.5,0.06,0.2278
15386,перегріватися,NGTV,-1.0,0.0,0.1481,0.7407,0.1111,0.0
15387,перегрітий,NGTV,-0.9314,0.1166,0.1779,0.5828,0.1227,0.1399
15388,перегреть,NGTV,-0.9444,0.04,0.2,0.68,0.08,0.0424
15389,перегрітися,NGTV,-0.9583,0.087,0.1884,0.6667,0.058,0.0983
15390,перевантажувати,NGTV,-0.629,0.0962,0.3462,0.5,0.0577,0.1146
15391,перевантажуватися,NGTV,-0.5477,0.1553,0.3107,0.4757,0.0583,0.2061
15392,перевантаженість,NGTV,-0.96,0.0833,0.1875,0.6667,0.0625,0.0938
15393,перегруз,NGTV,-0.9,0.0652,0.2174,0.6522,0.0652,0.0717
15394,перевантажити,NGTV,-0.3651,0.1386,0.4059,0.3564,0.099,0.1925
15395,перевантаження,NGTV,-0.446,0.1667,0.3333,0.4386,0.0614,0.23
15396,перегрупуватися,NEUT,0.2895,0.3,0.54,0.04,0.12,0.0453
15397,перегризати,NGTV,-0.4808,0.09,0.36,0.34,0.21,0.1138
15398,перегрызть,NGTV,-0.4925,0.0392,0.4412,0.4314,0.0882,0.0428
15399,перегризтися,NGTV,-1.0,0.037000000000000005,0.037000000000000005,0.8519,0.0741,0.0386
15400,передавати,NEUT,0.1216,0.217,0.6132,0.0755,0.0943,0.1017
15401,передаватися,NEUT,0.0,0.0385,0.6923,0.0769,0.1923,0.0577
15402,передавить,NGTV,-0.7857,0.1078,0.2451,0.5392,0.1078,0.1294
15403,передарить,NGTV,-0.4351,0.1188,0.3861,0.3762,0.1188,0.1563
15404,передати,NEUT,0.0,0.0769,0.8077,0.0,0.1154,0.0
15405,передатися,NEUT,0.0,0.04,0.72,0.04,0.2,0.08
15406,передача,NEUT,0.3607,0.35,0.52,0.03,0.1,0.0326
15407,пересувати,NEUT,0.0172,0.2,0.76,0.0,0.04,0.0
15408,пересуватися,NEUT,0.2686,0.3039,0.5784,0.049,0.0686,0.0569
15409,пересування,NEUT,0.325,0.3204,0.5243,0.0485,0.1068,0.0559
15410,пересувний,NEUT,0.0455,0.2143,0.75,0.0,0.0357,0.0
15411,пересунути,NEUT,0.0,0.1481,0.7037,0.037000000000000005,0.1111,0.0463
15412,пересунутися,NEUT,0.0806,0.2069,0.6552,0.069,0.069,0.092
15413,переробити,NEUT,0.2232,0.27,0.58,0.1,0.05,0.13699999999999998
15414,переробка,NEUT,0.1681,0.2941,0.3725,0.1961,0.1373,0.3268
15415,перероблення,NEUT,0.0,0.0769,0.8462,0.0,0.0769,0.0
15416,переробляти,NEUT,-0.1223,0.1881,0.4851,0.2574,0.0693,0.3256
15417,перетримати,NGTV,-0.6102,0.06,0.35,0.48,0.11,0.0675
15418,передислоцировать,NEUT,0.0,0.12,0.6,0.04,0.24,0.0533
15419,передній,NEUT,0.0934,0.2093,0.6395,0.0465,0.1047,0.0568
15420,фартушок,NEUT,0.1,0.1852,0.5556,0.037000000000000005,0.2222,0.0444
15421,передовик,PSTV,0.7,0.4118,0.2353,0.0686,0.2843,0.0801
15422,перепочити,PSTV,0.622,0.4679,0.3303,0.0917,0.1101,0.1097
15423,передразнивание,NGTV,-1.0,0.13,0.16,0.65,0.06,0.156
15424,передразнивать,NGTV,-1.0,0.08,0.16,0.72,0.04,0.0889
15425,передразнить,NGTV,-1.0,0.0,0.037000000000000005,0.8889,0.0741,0.0
15426,побитися,NGTV,-1.0,0.0,0.1111,0.7778,0.1111,0.0
15427,передружиться,PSTV,0.6504,0.4757,0.3107,0.0777,0.1359,0.0904
15428,халепа,NGTV,-1.0,0.037000000000000005,0.0741,0.7778,0.1111,0.0388
15429,передумать,NEUT,0.0,0.0667,0.7111,0.1333,0.0889,0.1
15430,передумывать,NEUT,0.0,0.13,0.63,0.14,0.1,0.2507
15431,передушити,NGTV,-1.0,0.0323,0.129,0.7097,0.129,0.0337
15432,передих,PSTV,0.7035,0.4907,0.2778,0.0926,0.1389,0.1101
15433,відпочивати,NEUT,0.3102,0.3663,0.3366,0.1782,0.1188,0.2649
15434,перепочинок,NEUT,0.5282,0.463,0.4259,0.0556,0.0556,0.0622
15435,пересмикувати,NGTV,-0.7571,0.099,0.2574,0.5248,0.1188,0.1177
15436,пересмикує,NGTV,-0.7018,0.07,0.29,0.51,0.13,0.0796
15437,переїдання,NGTV,-1.0,0.0,0.08,0.88,0.04,0.0
15438,переїдати,NGTV,-0.9,0.0278,0.2222,0.6667,0.0833,0.0289
15439,переїзд,NEUT,0.0,0.1111,0.7778,0.037000000000000005,0.0741,0.0494
15440,переїжджати,NEUT,0.1857,0.2376,0.5644,0.1089,0.0891,0.1588
15441,переїсти,NGTV,-1.0,0.037000000000000005,0.1481,0.7037,0.1111,0.039
15442,переїхати,NEUT,0.0,0.1724,0.7586,0.069,0.0,0.0966
15443,пережарити,NGTV,-0.9,0.0769,0.2308,0.6923,0.0,0.0855
15444,перечекати,NEUT,0.1,0.2143,0.6429,0.0714,0.0714,0.0952
15445,пережувати,NEUT,-0.0183,0.2079,0.4653,0.2178,0.1089,0.4064
15446,переженилися,NGTV,-0.4576,0.1092,0.3025,0.3361,0.2521,0.1447
15447,переживання,NGTV,-0.4425,0.13,0.34,0.38,0.15,0.1745
15448,хвилюватися,NGTV,-0.4348,0.17,0.3,0.42,0.11,0.2388
15449,пережите,NEUT,0.1616,0.22,0.54,0.14,0.1,0.2291
15450,пережиткових,NEUT,-0.2857,0.1495,0.2991,0.2991,0.2523,0.2243
15451,пережити,PSTV,0.5546,0.434,0.3302,0.1226,0.1132,0.1573
15452,пережрать,NGTV,-0.9545,0.0,0.2143,0.75,0.0357,0.0
15453,пережовування,NEUT,0.1905,0.2368,0.5175,0.1404,0.1053,0.2235
15454,пережовувати,NEUT,0.0,0.1379,0.7241,0.0,0.1379,0.0
15455,перезавантаження,NEUT,0.3609,0.33,0.49,0.08,0.1,0.0994
15456,перезапис,NEUT,0.0,0.0645,0.7097,0.129,0.0968,0.0968
15457,перезарядитися,PSTV,0.725,0.5631,0.301,0.0583,0.0777,0.0643
15458,перезарядка,NEUT,0.4677,0.4,0.44,0.07,0.09,0.0822
15459,перезаряджати,NEUT,0.2568,0.2745,0.5392,0.1078,0.0784,0.1502
15460,перезаряджатимуться,NEUT,0.413,0.3465,0.4455,0.1089,0.099,0.1431
15461,передзвонювати,NEUT,0.1,0.2245,0.6735,0.0204,0.0816,0.0223
15462,перезваниваться,NEUT,0.0806,0.2143,0.6786,0.0714,0.0357,0.0952
15463,передзвін,NEUT,0.0,0.1333,0.7667,0.0,0.1,0.0
15464,передзвонити,NEUT,0.1,0.2,0.6,0.04,0.16,0.048
15465,перезимувати,NEUT,0.0357,0.2,0.72,0.0,0.08,0.0
15466,перезнайомити,NEUT,0.542,0.4257,0.3762,0.0198,0.1782,0.0207
15467,перезнайомитися,NEUT,0.5164,0.4158,0.396,0.0693,0.1188,0.0809
15468,перезрілий,NGTV,-0.913,0.0682,0.2045,0.6364,0.0909,0.0755
15469,перезреть,NGTV,-0.4865,0.19,0.25,0.46,0.1,0.2685
15470,переграти,NEUT,-0.0369,0.1961,0.4804,0.2157,0.1078,0.3743
15471,перегравати,NEUT,-0.2521,0.1683,0.4158,0.3168,0.099,0.2577
15472,переобирати,NEUT,0.0357,0.1786,0.6429,0.0714,0.1071,0.1
15473,переобрати,NEUT,0.051,0.1782,0.6139,0.099,0.1089,0.154
15474,надлишок,NGTV,-0.5973,0.1,0.34,0.45,0.11,0.1222
15475,перевидавати,NEUT,0.0,0.0,0.72,0.12,0.16,0.0
15476,перевидання,NEUT,0.0,0.08,0.72,0.04,0.16,0.06
15477,перевидати,NEUT,0.2788,0.2673,0.495,0.099,0.1386,0.1357
15478,перейменування,NEUT,0.0,0.0667,0.7333,0.1333,0.0667,0.1
15479,перейменувати,NEUT,0.0,0.0769,0.8462,0.0,0.0769,0.0
15480,переименовывать,NEUT,0.0,0.0385,0.8846,0.0385,0.0385,0.0769
15481,переінакшувати,NEUT,-0.1991,0.1619,0.3905,0.2667,0.181,0.2602
15482,перейти,NEUT,0.1,0.2178,0.6535,0.0495,0.0792,0.0608
15483,перекопувати,NEUT,0.2143,0.2451,0.5392,0.0882,0.1275,0.12
15484,перегодовувати,NGTV,-1.0,0.0345,0.1379,0.7586,0.069,0.0361
15485,перекат,NEUT,0.0,0.12,0.56,0.04,0.28,0.0533
15486,перекотити,NEUT,0.0192,0.18,0.68,0.09,0.05,0.135
15487,перекотитися,NEUT,0.0,0.1308,0.6355,0.1028,0.1308,0.1836
15488,перекочування,NEUT,0.0,0.04,0.68,0.04,0.24,0.08
15489,перекочувати,NEUT,0.0526,0.2,0.6857,0.0714,0.0429,0.0969
15490,перекочуватися,NEUT,0.0,0.08,0.76,0.04,0.12,0.06
15491,перекачати,NEUT,0.0222,0.1584,0.5545,0.1485,0.1386,0.2877
15492,перекачування,NEUT,0.0,0.1176,0.6275,0.098,0.1569,0.1797
15493,перекачувати,NEUT,0.006,0.1386,0.5446,0.1089,0.2079,0.1945
15494,перекачуватися,NEUT,-0.1,0.037000000000000005,0.5556,0.1852,0.2222,0.0444
15495,перекошувати,NGTV,-0.4019,0.11,0.37,0.32,0.2,0.1478
15496,перекашиваться,NGTV,-0.6733,0.1188,0.2673,0.4554,0.1584,0.1498
15497,переквалифицироваться,PSTV,0.6161,0.451,0.3235,0.049,0.1765,0.0543
15498,перекидать,NEUT,0.0806,0.2,0.6333,0.0667,0.1,0.0889
15499,перекидання,NEUT,0.0,0.08,0.72,0.04,0.16,0.06
15500,перекидати,NEUT,0.0,0.1068,0.6019,0.1359,0.1553,0.1907
15501,перекидатися,NEUT,0.0,0.1359,0.6117,0.1262,0.1262,0.2434
15502,перекинути,NEUT,0.0,0.1538,0.6538,0.0385,0.1538,0.0481
15503,перекинуться,NEUT,0.0,0.12,0.62,0.09,0.17,0.1575
15504,перекипеть,NEUT,-0.2188,0.2095,0.3143,0.3429,0.1333,0.3376
15505,перекис,NEUT,0.3131,0.29,0.49,0.08,0.14,0.1021
15506,перекладина,NEUT,0.0,0.1852,0.7778,0.0,0.037000000000000005,0.0
15507,перекладывание,NEUT,0.0,0.08,0.76,0.04,0.12,0.06
15508,перекладати,NEUT,0.0172,0.1724,0.6552,0.069,0.1034,0.0966
15509,переклеювати,NEUT,0.0,0.1333,0.7667,0.0667,0.0333,0.1
15510,переклеить,NEUT,0.0217,0.16,0.6,0.11,0.13,0.1856
15511,переклинило,NGTV,-0.7432,0.07,0.28,0.55,0.1,0.0789
15512,перекличка,NEUT,0.0,0.12,0.84,0.0,0.04,0.0
15513,перемикач,NEUT,0.0172,0.2,0.76,0.0,0.04,0.0
15514,перемикати,NEUT,0.0172,0.1667,0.6333,0.0667,0.1333,0.0933
15515,переключаться,NEUT,0.0,0.12,0.8,0.0,0.08,0.0
15516,перемикання,NEUT,0.1,0.2,0.6,0.04,0.16,0.048
15517,переключити,NEUT,0.0172,0.1923,0.7308,0.0385,0.0385,0.0462
15518,переключитися,NEUT,0.2186,0.2532,0.5506,0.0443,0.1519,0.0521
15519,переколотив,NEUT,0.0,0.0385,0.8462,0.0385,0.0769,0.0769
15520,перекопати,NEUT,0.1186,0.1961,0.5588,0.1373,0.1078,0.2333
15521,перегодувати,NGTV,-1.0,0.0769,0.0385,0.8462,0.0385,0.0839
15522,перекорёжить,NGTV,-0.9725,0.1068,0.1553,0.5728,0.165,0.1267
15523,перекіс,NGTV,-0.6743,0.06,0.3,0.49,0.15,0.0673
15524,перекосити,NGTV,-0.575,0.0495,0.3663,0.4554,0.1287,0.0549
15525,перекоситься,NGTV,-0.8762,0.08,0.21,0.59,0.12,0.0908
15526,перекочевать,NEUT,0.0,0.0952,0.7024,0.0595,0.1429,0.0967
15527,перекрасить,NEUT,0.2156,0.26,0.57,0.1,0.07,0.1385
15528,перекраситься,NEUT,0.0893,0.22,0.68,0.06,0.04,0.0764
15529,перефарбування,NEUT,0.0,0.0769,0.7692,0.0385,0.1154,0.0577
15530,перефарбовувати,NEUT,0.0,0.16,0.8,0.04,0.0,0.05
15531,перефарбовуватися,NEUT,0.1471,0.2095,0.5524,0.1238,0.1143,0.197
15532,перехрестити,NEUT,0.3952,0.3558,0.4808,0.0769,0.0865,0.0936
15533,перехреститися,NEUT,0.4685,0.3942,0.4327,0.0962,0.0769,0.1196
15534,перекрещивать,NEUT,0.0806,0.1935,0.6129,0.0323,0.1613,0.0376
15535,перехрещуватися,NEUT,0.2088,0.2459,0.5,0.1393,0.1148,0.2183
15536,перекрикувати,NGTV,-0.9118,0.1,0.2,0.62,0.08,0.1161
15537,перекричать,NGTV,-0.5424,0.1188,0.3564,0.4356,0.0891,0.1512
15538,перекрутить,NEUT,-0.1458,0.1386,0.5149,0.2079,0.1386,0.231
15539,перекрутиться,NEUT,0.0368,0.17,0.61,0.08,0.14,0.1176
15540,перекривати,NEUT,-0.2436,0.0971,0.5728,0.2816,0.0485,0.1306
15541,перекрыть,NEUT,-0.1667,0.08,0.6,0.24,0.08,0.1067
15542,перекрёсток,NEUT,0.0,0.1333,0.5667,0.0667,0.2333,0.1
15543,перекувирнуться,NEUT,0.1,0.1923,0.5769,0.0385,0.1923,0.0462
15544,перекуповувати,NEUT,0.0423,0.18,0.53,0.16,0.13,0.3022
15545,перекур,NEUT,0.0806,0.2222,0.7037,0.0741,0.0,0.0988
15546,перекуривать,NGTV,-0.5656,0.09,0.38,0.46,0.07,0.1076
15547,перекурить,NGTV,-0.4409,0.1373,0.3824,0.4118,0.0686,0.183
15548,перекус,PSTV,0.6716,0.5357,0.3304,0.0714,0.0625,0.081
15549,перекусать,NGTV,-0.5,0.1121,0.3178,0.3738,0.1963,0.1458
15550,перекусити,NEUT,0.5288,0.4757,0.4369,0.0388,0.0485,0.042
15551,перекусывать,NEUT,0.3952,0.3592,0.4854,0.1068,0.0485,0.1385
15552,перелазити,NEUT,0.0,0.037000000000000005,0.963,0.0,0.0,0.0
15553,переламувати,NGTV,-0.4744,0.0792,0.4059,0.3762,0.1386,0.0959
15554,перелезать,NEUT,0.0,0.0385,0.6154,0.1154,0.2308,0.0513
15555,перелізти,NEUT,0.0,0.1556,0.6222,0.0667,0.1556,0.0952
15556,перелетать,NEUT,0.1903,0.26,0.61,0.02,0.11,0.0215
15557,перелетіти,NEUT,0.3017,0.3069,0.5347,0.0495,0.1089,0.0575
15558,переливание,NEUT,0.1809,0.252,0.6063,0.0787,0.063,0.1033
15559,переливать,NEUT,0.0,0.1538,0.7308,0.0,0.1154,0.0
15560,переливаться,NEUT,0.3108,0.2913,0.4951,0.0583,0.1553,0.0699
15561,перелистать,NEUT,0.0172,0.1852,0.7037,0.037000000000000005,0.0741,0.0444
15562,перелистывание,NEUT,0.0,0.08,0.84,0.04,0.04,0.06
15563,перелистывать,NEUT,0.0172,0.1786,0.6786,0.0357,0.1071,0.0429
15564,перелить,NEUT,0.0,0.1176,0.7059,0.0588,0.1176,0.0882
15565,перелити,NEUT,0.0,0.1132,0.5566,0.1226,0.2075,0.2177
15566,переловити,NEUT,0.0543,0.1635,0.5577,0.1346,0.1442,0.2455
15567,перекласти,NEUT,0.0,0.1724,0.7586,0.069,0.0,0.0966
15568,перелом,NGTV,-0.7821,0.0849,0.2642,0.5755,0.0755,0.0974
15569,переламати,NGTV,-1.0,0.0857,0.1714,0.7429,0.0,0.0956
15570,переломаться,NGTV,-0.75,0.06,0.26,0.52,0.16,0.0669
15571,переломить,NEUT,-0.1339,0.198,0.4653,0.2772,0.0594,0.3395
15572,переломитися,NGTV,-0.4528,0.16,0.27,0.4,0.17,0.224
15573,переломный,NEUT,-0.0566,0.1698,0.5283,0.1981,0.1038,0.3154
15574,перелопатить,NEUT,0.2549,0.2673,0.396,0.1386,0.198,0.2105
15575,перелопачивать,NEUT,-0.243,0.1485,0.4158,0.2772,0.1584,0.2281
15576,переліт,NEUT,0.3333,0.3333,0.5333,0.0381,0.0952,0.0424
15577,перемазати,NEUT,-0.3206,0.1356,0.4237,0.3136,0.1271,0.1942
15578,перемазаться,NGTV,-0.6351,0.08,0.32,0.47,0.13,0.0936
15579,перемазывать,NEUT,-0.3363,0.1182,0.4182,0.2909,0.1727,0.1662
15580,перемелювати,NEUT,-0.1632,0.11,0.53,0.21,0.15,0.1676
15581,переманивание,NGTV,-0.5256,0.0891,0.3762,0.4059,0.1287,0.1087
15582,переманивать,NGTV,-0.5847,0.0571,0.3429,0.4381,0.1619,0.0646
15583,переманить,NEUT,-0.315,0.18,0.36,0.38,0.08,0.2653
15584,перематывать,NEUT,0.0,0.1538,0.6538,0.0385,0.1538,0.0481
15585,перемахнуть,NEUT,0.1729,0.2353,0.5784,0.0882,0.098,0.1213
15586,перемена,NEUT,0.0,0.16,0.8,0.0,0.04,0.0
15587,переменка,PSTV,0.5976,0.49,0.37,0.01,0.13,0.0102
15588,змінний,NEUT,0.0,0.08,0.76,0.04,0.12,0.06
15589,переменчивость,NEUT,-0.1,0.04,0.72,0.24,0.0,0.0467
15590,переменчивый,NEUT,-0.1,0.069,0.6207,0.2069,0.1034,0.092
15591,перемереть,NEUT,-0.2885,0.14,0.36,0.29,0.21,0.2076
15592,перемеривать,NEUT,0.0876,0.1845,0.5728,0.0971,0.1456,0.1482
15593,перемерить,NEUT,0.0172,0.2,0.76,0.0,0.04,0.0
15594,перемерять,NEUT,0.0,0.12,0.76,0.04,0.08,0.0533
15595,переместить,NEUT,0.0,0.037000000000000005,0.8148,0.037000000000000005,0.1111,0.0741
